Name,Price,Effects
Suppression Tactical Launcher – Web,-1,"This device uses ammunition developed with different products made by Pokémon to hinder the escape of any fleeing criminals. At any given time, the ranger union allows Spec. Ops. rangers to take three canisters of ammunition for this launcher and you must return to a ranger station in order to retrieve more after using any ammunition. As an action, use the move Spider Webbing."
Home Made Repel,-1,"Wild Pokémon find the smell repulsive for 30 mins after applied, but may ignore it to protect something precious to them. The concoction loses its effects after 24 hours."
Berry Planter,2800,"Portable berry planters can help you to grow more berries on your own on the go. By watering berries in the planter daily, you can potentially turn one planted berries into two or three berries. The Berry Planter’s use is detailed with Trainer Utility Items"
Basic Tool Kit,150,"Basic tools for basic repairs or mainte- nance. Includes hammer, screwdriver (adaptable head), wrench, handsaw, steel ruler, level, nails (40 assorted), screws (40 assort- ed), nuts and bolts (40 assorted), and a tackle box they fit snug- gly in with little room for anything else. 8 lbs. 14x6x6 in."
Camera Bag,150,"Everything you need as a travelling photographer, minus the camera. Includes lenses (3), extra bulbs (2), gaffer tape, microfiber cloth, micro screw driver, micro flash light, extra battery (1), extra memory card (20 GB), ear plugs, and the bag which has room for your camera (camera not includ- ed). 18x10x8 in. 3 lbs."
Cooking Kit,850,"For the chef on the go, in the wilds. Includes portable electric stove (2 burners), cast iron pan, cast iron pot with lid, water purifier, cutting board, cutting knife, measuring cups and spoons, spatula, cooking spoon, and a stur- dy bag it all fits into. The electric stove can be charged to use for two weeks after a 4-hour charge. 35 lbs. 2x2x1 ft. 4 ft strap."
Dig Kit,150,"Whatever you’re looking for, this should help. Includes extendable shovel, extendable pickaxe, hammer, trowel, compass, measuring tape (25ft), 6 in. stakes (10), string (600 ft), and a tool roll bag with some room for more equipment. 15 lbs. 16x6x4 in. 4ft strap."
Drawing Kit,20,"For an artist, or maybe just a doodler. Includes drawing pad (200pp), journal (200pp), blue pencils (10), mechanical pencils (2), kneaded eraser, white vinyl eraser, blender, pen and ink, assorted brush pens (10), and a bag with extra room to carry it all. 4 lbs. 20x18x3 in. 3ft strap."
Engineer’s Tool Kit,1050,"If you’re building something on the go, or taking something else apart, maybe you’ll need this? Elec- tric unfolding soldering table (2x2 ft), soldering iron, desoldering pump, assorted soldering iron tips (8), soldering assist tools (2), tin wire tube, tweezers, wire stripper cutter, electric wire (80 ft), long nose pliers (2), precision screwdriver, magnetic/gripping retrieving tool, telescoping mirror, various spare screws (100). The table folds into itself while storing all of the supplies, reveal- ing a handle. 15 lbs. 24x12x4 in."
Fishing Kit,750,"For trainers who are looking to lure underwater Pokémon to the surface. Includes telescoping fishing rod, spare reel lines (2), assorted hooks (100), assorted bobbers (10), sinkers (10), assorted lures (10), needle nose pliers, small knife, and a tackle box with room to store a bit more. 8 lbs. 14x6x6 in."
Grooming Kit,150,"Your Pokémon will always look their best when you’re using this kit. Includes electronic trimmer, trimmer length attachments (8), assorted combs (5), assorted brushes (5), assorted scissors/shears (3), clippers, nail file, soap (8 oz.), shampoo (8 oz.), and bag with room for more. The trim- mer can be charged to use for one week after a 1-hour charge. 4 lbs. 12x8x8 in. 2ft strap."
Make Up Kit,150,"You will always look your best when you’re with this kit. Includes moisturizer (8 oz.), primers (2 3 oz.), concealers (2 3 oz.), foundation (3 oz.), assorted blush (4 2 oz.), assorted bronzer/highlighter (4 2 oz.), powders (4 3 oz.), setting spray (3 oz.), eyeliner pencil, liquid eyeliner (2 oz.), assorted mascara (4 1 oz.), lash curler, assorted lip balm (4 1 oz.), assort- ed lipstick (4), assorted lip gloss (4 1oz.), and a collapsing case with room to expand your options. 4 lbs. 16x12x4 in."
Medical Field Kit,2150,"Even if you’re not entirely sure how to use it, it’s very useful to have. Includes pain relievers (20 pills), antihistamine (20 pills), cold/flu relievers (20pills), electro- lyte tablets (20 pills), antiseptic solution (8oz.), antiseptic gel (8 oz.), medical adhesive tape (30ft), slings (2), crepe bandages (2 3ft. rolls), cloth bandages (4 3ft. rolls), gauze swabs (30), stitch strips (20), ear plugs (10), safety pins (20), thermometer, small scissors, small scalpel, tweezers, and assorted adhesive bandag- es (40), and a folding carrying case it all fits snuggly into. Basic safety for basic safe travel. The medical field kit can be used to keep trainers from dying but is less useful with Pokémon unless you are proficient in its use. As an action, you may use this kit and attempt a Medicine skill check of 15 to stabilize an uncon- scious trainer to 1 hit point. When out of combat, you may spend 5 minutes to stabilize an unconscious trainer to 1 hit point. When out of combat, you may attempt a Medicine skill check of 15 once per hour to cure a target of any affliction. The medical field kit has many pieces and should be maintained and stocked. 10 lbs. 2x1.5x.025 ft."
Mess Kit,10,"Everything you need to enjoy a meal on the go. Includes a plate, a bowl, a fork, a spoon, a knife, a cup, and a slip it all fits into neatly. 1.5 lbs. 10x10x3 in."
Miscreant’s Pack,250,"There’s no real reason to have this, let alone sell it. This may not be easily found and available in stores. Includes, solar charger, universal power adapter, universal adapter dongle, memory sticks (4x80 GB), micro file (2), lock picks (8), multi-head screwdriver, hammer, crowbar, small nar- row saw, small narrow scissors, telescoping mirror, thin wire (20 ft), water bottle, and a backpack or side pack to fit everything with some extra room. 10 lbs. 30x16x16 in."
Poké Ball Smith Kit,1250,"If you’re planning to make your own Poké Balls, this will be necessary. Includes electric unfolding sol- dering table (2x2 ft), soldering iron, desoldering pump, assorted soldering iron tips (8), tin wire tube, tweezers, wire stripper cutter, electric wire (80 ft), micro screwdriver, micro screws (400), micro glass and mirror spares (200), micro rods (200), mi- cro steel sheets (200). The table folds into itself while storing all of the supplies, revealing a handle. 15 lbs. 24x12x4 in."
Portable Chemistry Set,850,"Science on the go! Includes port- able Bunsen burner, beakers (1 250 ml/1 50 ml), conical flask (100 ml), measuring cylinder (25ml), test tubes (6 10 ml), reusa- ble spray bottles (6), test tube rack, heat clamps, thermometer, glass dropper, stirring rod, cleaning brush, corks (12), mortar and pestle, Nuffield spatula, and a padded case to hold every- thing securely. The reusable bottles can store concoctions to be reused once cleaned. 12 lbs. 2x1x1 ft. 4ft strap."
Sewing Kit,200,"This is useful for the designer on the go. Includes electronic folding sewing machine, measuring tape (6ft), assorted buttons and fasteners (50), assorted spools of thread (20), hand-sewing needles (10), fabric pens (10), bleach pen, stain removing pen, pins (50), needle threader, pincushion, fabric shears, seam ripper, thimbles. The sewing machine folds into itself while storing all of the supplies, revealing a handle. The sewing machine can be charged to use for two weeks after a 4-hour charge. 20 lbs. 2x1x1 ft."
Spiritualist’ Pack,10,"For those who travel and spread the word of various greater beings. Includes solar charger, universal power adapter, religious texts (2), religious symbol, candles (10), incense sticks (20), waterproof matches (25), water bottle, and a backpack or side pack to fit everything with a great deal of extra room. 5 lbs. 30x16x16 in."
Studious Pack,80,"Useful things for a trainer with a knack for academics. Includes, solar charger, universal power adapter, universal adapter dongle, memory stick (40 GB), binder, folders (6), notebooks (3), journal, notepad, pencils (5), pens (3), highlighter, vinyl eraser, pencil sharpener, ruler, headphones, water bottle, and a backpack or side pack to fit everything with extra room for your laptop among other things (laptop not in- cluded). 10 lbs. 30x16x16 in."
Traveler’s Pack,150,"Really useful gear for extended travel through the wilds. Includes collapsible pop-up tent (two-person 7x4 ft), tarp (8x10 ft), sleeping bag, pocket knife, solar flashlight, compass, waterproof matches (20), water bottle, and a com- pression sack with straps to snuggly fit everything. 15 lbs. 40x16x16 in."
Trainer’s Pack,80,"Basic goods for trainer who’s starting their journey. Includes solar charger, universal power adapter, compression bands (4), crepe bandages (4), micro screwdriver, water bottle, and a backpack or side pack to fit everything with a great deal of extra room. 5 lbs. 30x16x16 in."
Egg Incubator,1350,"Egg incubators are electronic, reusable containers that safely keep and warm Pokémon eggs. Once charged over 4 hours, they last for weeks to keep the single egg inside safe from harm and warm to encourage healthy hatching. Egg Incubators can be dropped from up to 100 ft while keeping the egg inside safe. Incubators can be submerged in water without harming the egg. They are heavy, but easier than carrying eggs around in your arms. 15 lbs. 16x8x8 in. 4ft strap."
Folding Bike,950,"A 3-speed bike that folds onto itself. Wheels are 26 in. Unfolded, its frame length and height are 48x40 in. It has telescoping handles and seats for any person’s height. 25 lbs. 30x30x6 in. when folded."
Portable Berry Planter,2800,"By planting a berry in a portable berry planter, you create a mini-ecosystem for the berry to rapidly grow into a fruit baring shrub, often producing two or even three berries. When planting a berry, roll a Nature skill check. Then when watering the berry once per day over the next five days, roll a Nature skill check each time. If you ever roll under 6, the shrub yields one berry when it fruits. If you roll over 5 each time, the shrub yields 2 berries when it fruits. If you ever roll over 20 without rolling under 6, the shrub yields 3 berries when it fruits. Failing to water the shrub at least once per day or harvesting its berries will kill the shrub. 3 lbs. 2x1x1 ft. 4ft strap."
Solar Charger,50,"An unfolding solar panel that charges devices. Leaving the array open in the sun helps to charge phones, computers, or maybe even other portable items. Does not hold a charge, instead only charging other things."
Backpack,5,
Ball bearings(25),10,
Bedroll,5,
Binoculars (digital),45,
Blanket,2,
Block and tackle,5,
Bolt cutter,10,
Briefcase,5,
Camera (digital high end),2850,
Camera (digital),450,
Camera (film high end),1050,
Case (aluminum),20,
Cell phone,80,
Chain (10 ft),5,
Chalk (10 sticks),1,
Clothes (brand names),100,
Clothes (custom-fit high end),1250,
Clothes (designer brands),350,
Clothes (camo fatigue),65,
Clothes (generic brands),35,
Clothes (workout / outdoors),20,
Computer (desktop),480,
Computer (laptop),980,
Computer (tablet),780,
Cooler bag (Foldable),10,
Crowbar,10,
Duct Tape,5,
Flashlight,2,
Flask,4,
Gas mask,25,
Grappling hook,10,
Hammer,10,
Hammer (sledge),15,
Handheld transceiver (pair),60,
Jacket (rain),65,
Jacket (snow),145,
Jacket (windbreaker),50,
Knife (folding),10,
"Ladder (folding, 10ft)",15,
Lighter,2,
Luggage bag (wheeled),5,
Messenger bag,5,
Metal Detector,30,
Multi-purpose tool,20,
Night-vision goggles,350,
Padlock and key,10,
Pens (10 coloring),2,
Pens (5 writing),2,
Pick,10,
Pitons (5),5,
"Pole (steel, 10 ft)",5,
Rope (50 ft),5,
Saddle (large),35,
Saddle (massive),55,
Saddle (small),15,
Shovel (folding),10,
Smartphone,580,
Soap / Shampoo,2,
"Tent (folding, two-person)",35,
Vehicle (car),49800,
Vehicle (motorcycle),4980,
Vehicle (truck),69800,
Vehicle (van),49800,
Vial,5,
Wallet,5,
Whistle,2,
Zip ties (30),10,
Ninja Tabi,800,+2 to an Acrobatics skill check
Bracing Sleeves,800,+2 to an Athletics skill check
Domino Mask,800,+2 to a Bluff / Deception skill check
Pyramid Hat,800,+2 to a Concentration skill check
Padded Jacket,800,+2 to a Constitution skill check
Fine Ascot,800,+2 to a Diplomacy skill check
Fingerless Gloves,800,+2 to a Engineering / Operation skill check
Grand Monocle,800,+2 to a History skill check
Cozy Scarf,800,+2 to a Insight skill check
Wrist Magnifier,800,+2 to a Investigate skill check
New Stethoscope,800,+2 to a Medicine skill check
Field Boots,800,+2 to a Nature skill check
Tech Visor,800,+2 to a Perception skill check
Baller Hacky Sack,800,+2 to a Perform skill check
Soft Brush,800,+2 to a Pokémon Handling skill check
AR Goggles,800,+2 to a Programming skill check
Loose Overcoat,800,+2 to a Slight of Hand skill check
Silent Sneakers,800,+2 to a Stealth skill check
Studded Leather,1250,+1 Defense during accuracy checks made against you (10lbs)
Chainmail,3450,+2 Defense during accuracy checks made against you and you move 10ft less per turn (20lbs)
Full Plate Armor,9650,+3 Defense during accuracy checks made against you and you move 20ft less per turn. (50lbs)
Nimble Spandex,1250,+1 Special Defense during accuracy checks made against you. (1lbs)
Blizzard Wear,1050,"Carefully made clothes for humans protect them from harmful hail and snowstorms. While worn, human trainers do not take damage from Hailing weather both made by Pokémon or naturally occurring."
Desert Gear,1050,"Carefully made clothes for humans protect them from harmful sandstorms and desert winds. While worn, human trainers do not take damage from Sandstorming weather both made by Pokémon or naturally occurring."
