Name,Effects
Honed Skill,"Your specialized training has become a part of your Pokémon, even without you near them. If your Pokémon have been with you for at least a week, you may teach them the following Passives after one hour of additional training. When teaching your Pokémon this Passive, you may teach it to them even if they already have the Passive, or if they already have a Passive from the same category. In this case, duplicate Passives are not redundant.
Favored Stat Passive 
Attack: Swords Dance (+2 Attack) 
Defense: Iron Defense (+2 Defense) 
Special Attack: Nasty Plot (+2 Special Attack) 
Special Defense: Eerie Impulse (+2 Special Defense) 
Speed: Speed Boost (+2 Speed)"
Desperate Measures,"You weigh the needs of a battle to make desperate measures and win with your chosen strategies. Once per day, after two hours of work you can tutor the following moves to your Pokémon depending on your favored stat.

Favored Stat: Move
Attack: Belly Drum - Self Normal Effect: 3/day. You lose HP equal to half of your Max HP, then your Attack is +6 for 10 mins. This effect cannot be stacked.
Defense: Unbreakable Armor - Self Normal Effect: 3/day. Your Defense is +4 for 10 mins, your Attack and Special Attack is -10 for 10 mins. This effect cannot be stacked.
Special Attack: Migraine - Self Normal Effect: 3/day. You lose HP equal to half of your Max HP, then your Special Attack is +6 for 10 mins. This effect cannot be stacked.
Special Defense: Unbreakable Barrier - Self Normal Effect: 3/day. Your Special Defense is +4 for 10 mins, your Attack and Special Attack is -10 for 10 mins. This effect cannot be stacked.
Speed: Mach Speeds - Self Normal Effect: 3/day. Your Speed is +8 for 10 mins, your Defense and Special Defense is -3 for 10 mins. This effect cannot be stacked."
Stat Affirmation,"The fruit of your labors is coming forth. Every time your Pokémon succeed with your favored stat, they are energized by their efforts. Depending on your favored stat, your Pokémon have the following bonuses during combat.

Favored Stat: Effect
Attack: Whenever your Pokémon hits with a move that uses the Attack stat, they gain temporary HP equal to your Attack or Special Attack modifier.
Defense: Whenever your Pokémon is attacked with a move that uses the Attack stat and the attack misses, they gain temporary HP equal to your Attack or Special Attack modifier.
Special Attack: Whenever your Pokémon hits with a move that uses the Special Attack stat, they gain temporary HP equal to your Attack or Special Attack modifier.
Special Defense: Whenever your Pokémon is attacked with a move that uses the Special Attack stat and the attack misses, they gain temporary HP equal to your Attack or Special Attack modifier.
Speed: Whenever your Pokémon is attacked with an Effect move that uses their Speed during accuracy check and the attack misses, they gain temporary HP equal to your Attack or Special Attack modifier."
Stat Tactics,"You employ greater efforts to tutor your Pokémon, or your ally’s Pokémon, finding even better uses for their skills. Once per week, you may spend three hours tutoring you Pokémon to learn a move depending on which favored stat you’ve chosen.

Favored Stat: Move
Attack: Giga Impact - Melee(10ft burst) Normal Attack: 1/day 5d20. Giga Impact has -2 during Accuracy Check. You cannot act during the next round.
Defense: Protect - Ranged(25ft) Normal Effect: 1/day. Protect is used as a Reaction. If you are hit by an attack, ignore the damage and any effects of the attack.
Special Attack: Hyper Beam - Ranged(25ft beam) Normal Special Attack: 1/day 5d20. Hyper Beam has -2 during Accuracy Check. You cannot act during the next round.
Special Defense: Detect - Ranged(25ft) Fighting Effect: 1/day. Detect is used as a Reaction. If you are hit by an attack, ignore the damage and any effects of the attack.
Speed: Double Team - Self Normal Effect: 1/day. You create 3 copies of yourself. You may attack from any copy and copies may inhabit spaces up to 25 ft away from each other, though none can be more than 25 ft from any other copies or the original. If a copy is hit, it disappears and you take 1/4th of the damage it would have taken. If your copy is hit by a non-damaging attack the copy is dismissed and you are unaffected by the attack. If you are hit, all copies disappear."
Superior Aura,"Your glaring presence disparages enemy Pokémon and causes them to underperform during battle. 3/day, once per turn as a free action, you may disable a target(50ft) Pokémon’s Stat Passives for 10 mins."
Field Scout,"The field of battle is not always fair to your Pokémon, so you’ve focused your basic training on making the field much fairer. Once per day you may spend half an hour teaching any Pokémon the move Rapid Spin."
Rapid Spin - Melee Normal Attack,"At-Will 1d8. Destroy any Hazards or Coats, and free bound allies within 5 ft. You may target Hazards, Coats, or bound allies with Rapid Spin without needing to roll Accuracy Check or damage."
Terrain Mastery,"Positioning is key, and the ground is not always very helpful with that. You spend time every week training your Pokémon to overcome difficult terrains and get where they need to be in order to succeed during battle. Your Pokémon that you’ve had for at least one week are not affected by hindering terrain or difficult terrain."
Quick Set,"Your Pokémon are training in order to quickly set the stage of battle in order to maximize your chances of victory. 3/day you can have one of your Pokémon, during their action during their turn use two moves in one turn if they are both Coat, Hazard, Terrain, Wall, and/or Weather moves."
Adaptive Boost,"After Spending time with your Pokémon, you’ve been able to urge more diverse tactical advantages out of the moves they already know. 3/week, after an hour of work with one of your Pokémon, you may permanently alter one of their Pokémon move effects to have one of the following abilities as long as it doesn’t not result in the move temporarily raising the same stat twice. 
- “On hit, your Attack is +1 for 10 mins. This effect cannot be stacked.” 
- “On hit, your Defense is +1 for 10 mins. This effect cannot be stacked.” 
- “On hit, your Special Attack is +1 for 10 mins. This effect cannot be stacked.” 
- “On hit, your Special Defense is +1 for 10 mins. This effect cannot be stacked.” 
- “On hit, your Speed is +1 for 10 mins. This effect cannot be stacked.” 
If a Pokémon move that has already been altered by Adaptive Boost is changed again, replace the previously added effect with the new effect."
Healthy Priorities,"When you’ve spent time to focus on the urgency of your Pokémon’s recovery in order to gain another advantage during battle, your Pokémon anticipates that urgency and acts, almost without your command. After an hour with one of your Pokémon who has a move that recovers Hit Points or heals Pokémon of afflictions, that move permanently gains Priority. If a Pokémon is using a Priority attack or move, they may act first during the round. If someone else tries to use a Priority attack or move in the same round as that Pokémon, whoever has a higher Speed acts first. You can still use a move with Priority normally, without using it out of turn order."
Hazardous Intent,"Your Pokémon have really seen the advantages you’ve taught them pay off and have begun to ready themselves to set up a field of battle with little to no instruction. After an hour with one of your Pokémon who has two Coat, Hazard, Terrain, Wall, and/or Weather moves, those moves permanently gain Priority. The moves can both be used during a Quick Set."
Move Recognition,"Your training has influenced how your Pokémon perceive and study battle. Whenever your Pokémon are targeted by an attack that they’ve already been hit with during the same encounter, regardless of the who the attacker was, they have +2 Defense, Special Defense or Speed during the offender’s accuracy check. This effect is doubled if your Pokémon has been hit by the same attack twice during the same encounter. If your Pokémon is hit any further times, Move Recognition does not give higher than a +4 bonus to its relevant defense or speed during accuracy check."
Terrain Shift,"Your Pokémon have been taught to mold the field of battle physically in order to create blocking, hindering, or difficult terrain. 3/day you may issue a “Terraform” command to have one of your Pokémon with Fountain, Freezer, Groundshaper or Sprouter change the field of battle as that Pokémon’s action.
Terraforming Effect 
Fountain A Pokémon with Fountain can make a pool of water, or make a pool of water larger as its action. The pool of water can be up to 20ft in diameter about 5ft deep, or increase the size of a body of water by 40 sq. ft, or change 40 sq. ft of dirt or sand covered terrain into difficult muddy terrain. 
Freezer A Pokémon with Freezer can make up to 40 sq. ft of floor into icy difficult terrain, or create up to 20ft of wall of icy blocking terrain with 80 Hit Points and a weakness to Fighting, Fire, Rock and Steel type attacks. 
Groundshaper A Pokémon with Groundshaper can create tunnel equal to its movement speed big enough for large beings to pass through while moving, or can turn up to 40 sq. ft of floor into difficult sandy terrain, or create up to 20ft of wall of rocky blocking terrain with 80 Hit Points and a weakness to Fighting, Grass, Ground, Steel, and Water type attacks. 
Sprouter A Pokémon with Sprouter can make up to 40 sq. ft of floor into brush covered difficult terrain, or 40 sq. ft of thicket covered hindering terrain, or create up to 20ft of walls of vine blocking terrain with 80 Hit Points and a weakness to Bug, Fire, Flying, Ice, and Poison type attacks."
Weather Vortex,"You train your Pokémon to manipulate the local climate and mingle effects on the field of battle to create powerful maelstroms that your Pokémon command to their benefit. Whenever your Pokémon uses a Weather move and there is only one other Weather effect on the field of battle, you may choose for the previous weather effect to remain while the new weather effect is also active. Whenever your Pokémon uses a Terrain move and there is only one other Terrain effect on the field of battle, you may choose for the previous terrain effect to remain while the new terrain effect is also active. A third instance of weather or terrain will dismiss the other two weather or terrain effects."
Malicious Priorities,"Your influence has made your Pokémon more eager to set up your opponent’s Pokémon for failure. After an hour with one of your Pokémon who has an attack that does not deal damage on hit, you may teach that Pokémon the Passive, Prankster. Prankster - Your attacks that do not deal damage on hit have Priority."
Slight of Pokémon,"You begin to teach your Pokémon to physically manipulate individuals and not only the ground the battle is on. Once per day, after an hour of work with one of your Pokémon, you can teach them the passives, Magicians or Pickpocket; or the move Switcheroo. Each of your Pokémon may only be taught one of these three things with the Slight of Pokémon feature.
Magician - When hitting with a melee attack, you steal the target’s held item, if any. 
Pickpocket - When you are hit by a melee attack, you steal the offender’s held item, if any. 
Switcheroo - Melee Dark Effect: 1/day. On hit, you and the target trade any held items. If only you or the target has an item, take or give the item to exchange who has possession of it."
Brute Strategy,"You teach your Pokémon their final lesson; when all else fails put everything you’ve got into your final attack. 3/day you may choose one of your attacking Pokémon. During their attack, the attack deals an additional 1d20 damage, has +5 during accuracy check, and is not resisted if it would be. That Pokémon may not act during the next round of combat."
Sync Move,"Sync Move: Working together comes naturally under your command. Once per day, any two adjacent Pokémon you’ve owned for at least a week can make a Sync Move attack during the faster of the two’s turn. Either Pokémon involved in the Sync Move attack may move in order to arrive at the point of the Sync Move (this doesn’t count as having more than one Pokémon act during the round).
Sync Move - Ranged(30ft beam) (???) Attack OR Special Attack: 1/day 3d12. You can’t miss targets with less than 15 Defense or Special Defense. Sync Move has no type which means it can’t be resisted and can’t be super-effective. However, if both participating attackers share a type, they may have Sync Move’s type be that type and be affected by weakness and resistance. Sync Move checks its accuracy against Defense or Special Defense, decided when declared as an attack. Sync Move’s attackers apply both Attack or both Special Attack modifiers to Sync Move’s damage. Sync Move takes up both attacker’s turns during that round of combat."
Team Spirit,"Your Pokémon influence each other’s flow on the field of battle, encouraging better performance out of both of them. 3/day you may target to of your active Pokémon. Each of them has either Attack, Defense, Special Attack, Special Defense, or Speed raised +1 for 10 mins, depending on which of those stats its ally has the highest value in. this effect cannot be stacked."
Brace Allies,"You train your Pokémon to better support allies from being manipulated around the field of battle. If any over your Pokémon are adjacent to any ally who would be moved by a foe’s attack or feature effect, you may have your Pokémon brace that ally and ignore the effects of that ability."
Helping Out,"You begin teaching your Pokémon how to help with an attack without the use of a Sync Move. You may spend an hour with a Pokémon and teach it the move Helping Hand.
Helping Hand - Melee Normal Effect: 1/day. Target ally’s next attack during this round will deal +1d20 damage."
With Them,"Your Pokémon begin to really figure out synced attacks and with little preparation, you can improvise an attack with yours and an ally’s Pokémon. With permission from the owner, you may issue a command to your Pokémon and an adjacent ally Pokémon to make a Sync Move attack during the faster of the two’s turn. In addition, you may issue a Sync Move command twice per day, through either your Sync Move or With Them features."
Combination Tactics,"You spend time studying combination tactics and teach your Pokémon to use them in combat. Once per day, you may spend an hour with one of your Pokémon and teach it the move Assurance, Instruct, or Round. Each of your Pokémon may only be taught one of these three moves with the Combination Tactics feature."
Entwining Beam,"You’ve trained your Pokémon to bring forth themselves into the Sync Moves they make. You may choose a type that each participant in a Sync Move has and apply both different types to the Sync Move, applying all weaknesses and resistances to both types during the attack and ignoring any immunities that defenders may have. In addition, you may issue a Sync Move command three times per day, through either your Sync Move or With Them features."
Impossible Combination,"Your creative strategies become mind-bogglingly unstoppable. Whenever one of your Pokémon attacks, while adjacent to another one of your Pokémon who shares no types with the first, the first Pokémon may make an attack while ignoring immunities of any targets, instead treating those immunities as resistances."
All Together Now,"You’ve managed to make room for even more in your powerful Sync Move attacks. You can command a third adjacent participant to attack during a Sync Move command all three of them acting during the fastest participant’s turn. If you do, Sync Move deals +2d12 more damage. All three participants must either be your own Pokémon or allied trainer’s Pokémon, but at least one must be your own Pokémon. If using three Pokémon during a Move Sync, you cannot benefit from your Entwining Beam feature. In addition, you may issue a Sync Move command four times per day, through either your Sync Move, With Them, or All Together Now features."
Dual Wielding,You’ve planned out field tactics and can issue commands like a pro. 3/day you may issue two different commands to two of your active Pokémon. Neither one of those commands can be a Sync Move.
Friendly Fireproof,"Your Pokémon are in sync with each other’s movements and anticipate each other’s attacks, making way whenever they would other be harmed. Your Pokémon do not take damage from your own Pokémon’s attacks, or any effects. This includes effects from weather, attacks with an area of effect, or even a misguided Thrash."
One Heart,"Your Pokémon’s training has unified the energy of each of their beings. The trust they have in each other manifests as an ultimate Sync Move. Whenever you issue a Sync Move command that involves only your Pokémon, the attack is treated as super-effective regardless of the types the Sync Move may be. In addition, you may issue a Sync Move command five times per day, through either your Sync Move, With Them, or All Together Now features."
Favored Type,"When you become a Type Ace, you will select either Bug, Dark, Dragon, Electric, Fairy, Fighting, Fire, Flying, Ghost, Grass, Ground, Ice, Normal, Poison, Psychic, Rock, Steel, or Water. This is relevant to all of your Type Ace Features that refer to your favored type. Unlike other Advanced classes, you may take Type Ace more than once over time but you must choose a different Favored Type each time."
Improved Type Attacks,Your Pokémon have a shared love of your favorite type and match it with extra power whenever they get to fire off an attack with the same typing. Your Pokémon your owned for at least one week deal +4 damage with any damaging attack when the attack’s type matches your favored type.
Type Resistance,"Your Pokémon have become used to practicing with your favorite type and have learned to let attacks of that type roll off of them, inflicting less damage. Whenever your Pokémon is hit by an attack with the same type as your favored type, they take X less damage where X is equal to your Attack or Special Attack modifier."
Attack Shift,DEPRECATED You can influence your Pokémon to release a special energy while using their natural attacks. 3/day you can make one of your Pokémon’s successful attacks change its type into your favored type during its use.
Elemental Grit,"Elemental Grit: People always think they know exactly how to take you down, but you’re prepared for the worst. 3/day if your Pokémon with your favored type is hit by a super-effective or extremely-effective attack, the attack is treated as a resisted successful attack."
Elemental Metamorphosis,"Your bond with the elemental type you love can influence your Pokémon to embrace the type permanently. Once per week, after eight hours of uninterrupted meditation with one of your Pokémon, they will permanently gain your favored type. If your Pokémon has two types, permanently replace one of its type. If your Pokémon has a single type, it gains a second type. Your Pokémon’s physical appearance is altered appropriately and may continue to change over the next two weeks to adjust to its new typing. Your Pokémon’s change will only be successful if your Pokémon has at least Loyalty 3. Without your influence, a Pokémon who underwent elemental metamorphosis might revert to their regular typing in the care of another trainer over time."
Type Immunity,"Your Pokémon can shake off what you’ve drilled into them with your encouragement. 3/day when one of your Pokémon who you’ve owned for at least one week are hit by an attack of the same type as your favored type, you can make your Pokémon take no damage from the successful attack. Any other effects of the attack may be ignored."
Type Loyalty,"By spending more time around similar Pokémon, you increase how comfortable your Pokémon feel in your care. If at least four Pokémon in your team share your favored type, your team’s interactions with each other are never hostile. In addition, your team’s loyalty is easier to improve, your interaction with your Pokémon more often ends with positive results, and it takes intentional and malicious mistreatment to lower your Pokémon's loyalty."
Resistance Piercing,"Resistance Piercing: Your training has empowered your Pokémon’s attacks to break through your foe’s natural resistances. 3/day when your Pokémon hits with an attack with the same type as your favored type, the attack ignores any resistances or immunities."
Bread and Butter,"You begin to teach your Pokémon how to use a unique move that you’ve developed in your training. Once per week after training with one of your Pokémon who shares a type with your favored type for three hours, you teach them one of the following attacks.
Type Smasher - Melee (???) Attack: 3/day 3d10. On hit, your Attack is +1 for 10 mins. This effect cannot be stacked. 
Type Flash - Ranged(25ft) (???) Special Attack: 3/day 3d10. On hit, your Special Attack is +1 for 10 mins. This effect cannot be stacked.
In the move names for Type Smasher and Type Flash, replace the word “Type” with your favored type. Type Smasher and Type Flash’s type are your favored type."
Move Molding,"You begin to apply your special move’s theorem to other attacks your Pokémon knows. Once per week after training with one of your Pokémon who shares a type with your favored type for three hours, you may permanently change the type of one of that Pokémon’s moves to be your favored type."
Type Embrace,"When your Pokémon are hit by a familiar attack, they accept it like a warm hug. 3/day when one of your Pokémon that you’ve owned for at least one week are hit by an attack of the same type as your favored type, they take no damage and ignore any other effects of the attack, then are healed hit points equal to the amount of damage they would have taken."
Elemental Surge,"Your masterful training has perfected the essence of your elemental affinity and you can push your Pokémon to unleash their inner strength to defeat any foe. 3/day when your Pokémon who you’ve owned for at least one week who shares a type with your favored type hits with an attack with the same type as your favored type, the attack is treated as super effective."
Eversoul,"Through will alone, your Pokémon are able to ward off the lure of evolution. While straining to resist evolution is something that any Pokémon is capable of, your Pokémon never feel exhausted while doing so, instead it is as if they are always holding an Everstone. Your Pokémon are considered Underdog Pokémon for class features if they’ve been your Pokémon for at least one week and are in one of the three following categories: 
- Has never evolved, can still evolve. (Bulbasaur, Taillow, etc.) 
- Can still evolve, even if it has evolved. (Ivysaur, Pikachu, etc.) 
- Cannot evolve, but never evolved. (Kangaskhan, Torkoal, etc.)"
Hidden Strength,"Your training brings out the best of your enthusiastic Pokémon. 3/day you can issue an attack command to use a Move that your Pokémon’s knows naturally upon evolution. The move may come from your Pokémon’s next evolution, or its final evolution. Even though they may temporarily use the move, your Pokémon must still follow the move’s frequency limits."
The Bigger They Are,"Your guidance has instilled a confidence in your Pokémon, they never feel outmatched. Whenever your Pokémon that is still capable of evolution hits an evolved Pokémon with an attack that deals damage, it deals an additional 6 damage."
Versatile Technique,"Your Pokémon feel their potential within themselves. When attacking, your Pokémon that is still capable
of evolution benefit from the same-type attack bonus as if they were any of the types of their potential evolved forms, even if they have branch evolutions. (STAB is always +4 damage)"
Passive Improvement,"Your Pokémon begin to mature in ways that are unique to their evolutionary stage. Pokémon that you’ve owned for at least one week may have up to six passives gained from this feature and may immediately gain passives from any of their possible evolutions. In addition, those Pokémon can use the skills of any of their evolved forms. If necessary, your Pokémon’s physical appearance may slightly change over a couple of weeks to accommodate new passives or skills."
Champ in the Making,"Your intensive training has improved the general being of your underdog Pokémon. Any of your Pokémon that still can evolve, that you’ve had for at least a week have their Attack, Defense, Special Attack, Special Defense, and Speed permanently raised by 1."
Young Luck,"Your intuition in battle has given your underdogs a great deal of confidence, at times the feel as if everything is in their favor. 3/day when one of your Pokémon that is still capable
of evolution who you’ve owned for at least one week misses an attack against an evolved Pokémon, you may reroll the accuracy check."
Perfect as Is,"Your encouragement towards your Pokémon who don’t have evolutionary options empower them and give them courage to compete with anyone. Any of your completely unevolved Pokémon that cannot evolve that you’ve had for at least a week have their Attack, Special Attack, and Speed permanently raised by 2; and their Defense and Special Defense raised by 1."
Underdog Tactics,"After some studying and planning, you begin tutoring your team to employ tactics to edge out victories in tight spots. After an hour with one of your unevolved Pokémon, you can teach them one of the moves, Endeavor, Endure, Flail, Laser Focus, Lock-On, or Quick Attack. Each of your Pokémon may only be taught one of these moves with the Underdog Tactics feature."
Superior Defiance,"Your Pokémon outwardly deny expectations and fight against those others that might think have the upper hand. Whenever one of your Pokémon that is still capable
of evolution are hit by an attack by a fully evolved Pokémon, you may have their Attack or Special Attack raised by 2 for 10 mins. This effect is not stackable."
Rising Up,"The stronger an opponent is, the more your Pokémon can rise up to meet their foes. 3/day, you may choose one stat and a foe’s evolved Pokémon. One of your Pokémon that is still capable
of evolution has their stat is changed to equal that foe’s evolved Pokémon’s stat for 15 mins."
Underdog Comeback,"Your Pokémon have grown to dominate the field of battle and can overcome anything with your inspiring leadership. Once per day, when one of your Pokémon that is still capable
of evolution is knocked out, instead they recover to half of their max HP."
Hatcher,Your loving care of the eggs you receive brings out your new Pokémon with particular haste. Your eggs in your care never take longer than 72 hours to hatch.
Natural Edge,"Your Pokémon are born with a natural lead on other trainer’s Pokémon, your caring watch has given them a reason to be more, for you. Whenever you hatch an egg, after you know the Pokémon’s nature, choose one of Attack, Defense, Special Attack, Special Defense, and Speed. That Pokémon’s chosen stat is permanently raised X, where X is half of either your Defense or Special Defense modifier."
Philoprogenitive,"You put your Pokémon children before yourself. Whenever one of your hatched Pokémon is targeted with an attack and hit, if they are within 10ft of you, you may move to your Pokémon and take the damage they would have taken for them as a free action. You may use this feature as many times as you would like within the same round, regardless of turn order and regardless of whether or not you have already acted."
Egg Finder,"Something about your care raises the likelihood of two matched Pokémon producing a Pokémon egg for you. Whenever you make an egg check for any two Pokémon, you may make three checks and use the best result."
Unexpected Hatch,"Your eggs begin to hatch across species!? Whenever you hatch an egg that you found after making an egg check, you may flip a coin. If you win the flip, you may choose to have the egg hatch as a Pokémon of the father’s species instead of the default mother’s species."
Natural Breeder,"You’ve learned just how to influence your baby Pokémon’s first moments of life. When you hatch an egg, you may choose which of Attack, Defense, Special Attack, Special Defense, or Speed is positively or negatively influenced by nature. The nature is still randomized, but will be a nature that matches your preference when using Natural Breeder. In addition, if you don’t choose to influence the Pokémon’s nature you can pick its gender."
Parental Hyperlexia,"You begin to pick on the slightest hints, differences in tone, and micro expressions from your Pokémon as if they are speaking to you in a human language. You can understand any Pokémon that you hatched with a Loyalty of 3 or higher, when it tries to speak to you in its own Pokémon languages. If the Pokémon’s unable to speak to you in a comprehensible sense, you still understand it’s general needs and you still understand anything it might be trying to communicate to you."
Inherited Moves,"Your pairings yield powerful children often with powers beyond the baby Pokémon’s understand; with your guidance they will wield awesome attacks. Whenever you hatch your eggs, choose any one move from either parent and give it to your baby Pokémon."
Scrambled Moves,"Your influence on your Pokémon while they are eggs continues to yield unique results. Whenever you hatch an egg, choose one of the three moves the Pokémon is assigned in the Pokédex. They are given an appropriate different move by your GM."
Unlikely Pairings,"The mysterious ways that Pokémon create eggs are still unclear to you, but you’ve figured out a way to coerce eggs from Pokémon that otherwise would never make an egg. When trying to have Pokémon make Pokémon eggs in privacy, they do not need to have a matching egg group."
Familial Bond,"Your Pokémon treat you as if you were their actual parent. Any Pokémon you’ve hatched starts at Loyalty 3 with you. It takes intentional and malicious mistreatment to lower these Pokémon’s loyalties. In addition, any Pokémon you obtain are quick to warm up to you and not treat you as a hostile."
Gleaming Eggs,"Your warm influence brings out a rare quality on occasion from your baby Pokémon. Whenever you hatch one of your eggs, roll 1d20 and add your Defense or Special Defense modifier. On 20 or higher, the Pokémon that hatches is shiny."
Matchmaker,"You’ve become a master Breeder and can guarantee the Pokémon eggs that you desire. Once per day, when you make an egg check for two Pokémon, of which at least one of the two is your Pokémon, you are guaranteed to find an egg. When the egg hatches, you pick which species of the two parents the Pokémon is, which sex the Pokémon has, and which nature the Pokémon has."
Berry Mixer,"When it comes to berry treats, you’re an expert. Whenever you’re making any kind of food or item that requires berries, you are considered a certified expert and can supply your wares to specialty stores (usually at half their value), or to strangers willing to pay for your expertise."
