Pokemon,DexNo,Form,NormalPortrait,ShinyPortrait,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Stage,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Spearow,21,Base,spearow,spearow,24,6,3,3,3,7,Normal,Flying,Peck,Pursuit,Fury Attack,Small,Featherweight,Flight,,,,,,,Growl,Leer,Keen Eye,,,,,Flying,Avian,Winged,,,,,,Flying,,7 Days,Badlands,Field,Mountains,,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Fearow,22,Base,fearow,fearow,42,9,7,6,6,10,Normal,Flying,Aerial Ace,Drill Peck,Drill Run,Medium,Medium,Flight,,,,,,,Agility,Leer,Focus Energy,Keen Eye,Sniper,,,Flying,Avian,Winged,,,,,,Flying,,7 Days,Badlands,Field,Mountains,,,Omnivore,Common,,,,Spearow,3,,,,,,,,,,,,,
Ekans,23,Base,ekans,ekans,24,6,4,4,5,6,Poison,,Wrap,Poison Sting,Bite,Medium,Light,Stealth,Tracker,,,,,,Leer,Shed Skin,,,,,,Poison,Fangs,Glutton,,,,,"Bind, Glare, Poison Tail, Wrap",Field,Dragon,7 Days,Plains,Savanna,,,,Carnivore,Common,,,,,1,,,,,,,,,,,,,
Arbok,24,Base,arbok,arbok,36,10,7,7,8,8,Poison,,Crunch,Glare,Acid Spray,Large,Medium,Stealth,Swimmer,Tracker,,,,,Coil,Intimidate,Shed Skin,Unnerve,,,,Poison,Fangs,Glutton,Stampeding,,,,"Bind, Glare, Poison Tail, Wrap",Field,Dragon,7 Days,Plains,Savanna,,,,Carnivore,Common,,,,Ekans,3,,,,,,,,,,,,,
Pikachu,25,Base,pikachu,pikachu,24,6,4,5,5,9,Electric,,Quick Attack,Iron Tail,Nuzzle,Small,Medium,Zapper,,,,,,,Charm,Nasty Plot,Tail Whip,Lightning Rod,Static,,,Electric,Cutesy,,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,,,GMax Volt Crash,Pichu,2,,,,,,,,,,,,,
Pikachu,25,Base/Alolan,pikachu,pikachu,24,6,4,5,5,9,Electric,,Quick Attack,Iron Tail,Nuzzle,Small,Medium,Zapper,,,,,,,Charm,Nasty Plot,Tail Whip,Lightning Rod,Static,,,Electric,Cutesy,,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,,,GMax Volt Crash,Pichu,2,,,,,,,,,,,,,
Pikachu,25,Gigantamax,pikachu-gmax,pikachu-gmax,120,6,4,5,5,9,Electric,,Quick Attack,Electro Ball,Nuzzle,Dynamic,Dynamic,Zapper,,,,,,,Charm,Nasty Plot,Tail Whip,Lightning Rod,Static,,,Electric,Cutesy,,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,Pikachu,Gigantamax,GMax Volt Crash,Pichu,2,,,,,,,,,,,,,
Raichu,26,Base,raichu,raichu,36,9,6,9,8,11,Electric,,Slam,Thunderbolt,Thunder Wave,Medium,Medium,Zapper,,,,,,,Agility,Charm,Nasty Plot,Lightning Rod,Static,,,Electric,Cutesy,,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,,,,Pikachu,3,,,,,,,,,,,,,
Raichu,26,Base/Alolan,raichu-alola,raichu-alola,36,9,5,10,9,11,Electric,Psychic,Slam,Thunderbolt,Psychic,Medium,Medium,Hover,Zapper,Telekinetic,,,,,Agility,Charm,Nasty Plot,Static,Surge Surfer,,,Electric,Cutesy,Psychic,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,,,,Pikachu,3,,,,,,,,,,,,,
Sandshrew,27,Base,sandshrew,sandshrew,30,8,9,2,3,4,Ground,,Scratch,Poison Sting,Rollout,Small,Medium,Burrow,,,,,,,Defense Curl,Sand Veil,,,,,,Ground,Rock,Blades/Claws,,,,,,Field,,10 Days,Cave,Desert,Grasslands,Mountains,,Omnivore,Uncommon,,,,,1,,,,,,,,,,,,,
Sandshrew,27,Base/Alolan,sandshrew-alola,sandshrew-alola,30,8,9,1,4,4,Ice,Steel,Powder Snow,Metal Claw,Swift,Small,Medium,Burrow,Freezer,,,,,,Defense Curl,Snow Cloak,Swords Dance,,,,,Ice,Steel,Blades/Claws,,,,,Ice Ball,Field,,10 Days,Cave,Mountains,,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Sandslash,28,Base,sandslash,sandslash,48,10,11,5,6,7,Ground,,Slash,Dig,Earthquake,Medium,Medium,Burrow,Groundshaper,,,,,,Defense Curl,Rototiller,Swords Dance,Sand Rush,Sand Veil,,,Ground,Rock,Blades/Claws,Prickly,,,,,Field,,10 Days,Cave,Desert,Grasslands,Mountains,,Omnivore,Uncommon,,,,Sandshrew,3,,,,,,,,,,,,,
Sandslash,28,Base/Alolan,sandslash-alola,sandslash-alola,48,10,12,3,7,7,Ice,Steel,Icicle Spear,Iron Head,Blizzard,Medium,Medium,Burrow,Freezer,,,,,,Iron Defense,Slush Rush,Snow Cloak,,,,,Ice,Steel,Blades/Claws,Prickly,,,,Ice Ball,Field,,10 Days,Cave,Mountains,,,,Herbivore,Uncommon,,,,Sandshrew,3,,,,,,,,,,,,,
Nidoran-F,29,Base,nidoran-f,nidoran-f,36,5,5,4,4,4,Poison,,Scratch,Double Kick,Poison Sting,Small,Light,None,,,,,,,Growl,Leer,Poison Point,,,,,Ground,Poison,Normal Block,,,,,"Poison Tail, Super Fang",Monster,Field,10 Days,Field,Savanna,,,,Herbivore,Common,,,,,1,,,,,,,,,,,,,
Nidorina,30,Base,nidorina,nidorina,42,6,7,6,6,6,Poison,,Bite,Toxic Spikes,Flatter,Medium,Medium,None,,,,,,,Growl,Hustle,Leer,Poison Point,,,,Ground,Poison,Normal Block,,,,,"Poison Tail, Super Fang",Monster,Field,10 Days,Field,Savanna,,,,Herbivore,Common,,,,Nidoran-F,2,,,,,,,,,,,,,
Nidoqueen,31,Base,nidoqueen,nidoqueen,54,9,9,8,9,8,Poison,Ground,Body Slam,Earth Power,Superpower,Large,Medium,Groundshaper,,,,,,,Growl,Hustle,Leer,Poison Point,Sheer Force,,,Ground,Poison,Normal Block,Horned,Stampeding,,,"Poison Tail, Super Fang, Horn Drill",Monster,Field,10 Days,Field,Savanna,,,,Herbivore,Common,,,,Nidorina,3,,,,,,,,,,,,,
Nidoran-M,32,Base,nidoran-m,nidoran-m,30,6,4,4,4,5,Poison,,Peck,Double Kick,Poison Sting,Small,Light,None,,,,,,,Focus Energy,Leer,Poison Point,,,,,Ground,Poison,Normal Block,Horned,,,,"Poison Tail, Super Fang",Monster,Field,10 Days,Field,Savanna,,,,Herbivore,Common,,,,,1,,,,,,,,,,,,,
Nidorino,33,Base,nidorino,nidorino,36,7,6,6,6,7,Poison,,Toxic Spikes,Poison Jab,Chip Away,Medium,Medium,None,,,,,,,Focus Energy,Hustle,Leer,Poison Point,,,,Ground,Poison,Normal Block,Horned,,,,"Poison Tail, Super Fang, Horn Drill",Monster,Field,10 Days,Field,Savanna,,,,Herbivore,Common,,,,Nidoran-M,2,,,,,,,,,,,,,
Nidoking,34,Base,nidoking,nidoking,48,10,8,9,8,9,Poison,Ground,Horn Drill,Earth Power,Megahorn,Large,Medium,Groundshaper,,,,,,,Focus Energy,Hustle,Leer,Poison Point,Sheer Force,,,Ground,Poison,Normal Block,Horned,Stampeding,,,"Poison Tail, Super Fang, Horn Drill",Monster,Field,10 Days,Field,Savanna,,,,Herbivore,Common,,,,Nidorino,3,,,,,,,,,,,,,
Clefairy,35,Base,clefairy,clefairy,42,5,5,6,7,4,Fairy,,Encore,WakeUp Slap,Body Slam,Medium,Light,Flight,,,,,,,Charm,Cosmic Power,Cute Charm,Magic Guard,,,,Fairy,Healer,Normal Block,Spellcraft,Weather,Weird,,"Minimize, Meteor Assault, Metronome, Misty Explosion, Moonlight",Fairy,,10 Days,Cave,Mountains,,,,Herbivore,Uncommon,,,,Cleffa,2,,,,,,,,,,,,,
Clefable,36,Base,clefable,clefable,60,7,7,10,9,6,Fairy,,Lucky Chant,Healing WIsh,Metronome,Medium,Medium,Flight,,,,,,,Charm,Cosmic Power,Cute Charm,Friend Guard,Magic Guard,,,Fairy,Healer,Normal Block,Spellcraft,Weather,Weird,Winged,"Minimize, Meteor Assault, Metronome, Misty Explosion, Moonlight",Fairy,,10 Days,Cave,Mountains,,,,Herbivore,Uncommon,,,,Clefairy,3,,,,,,,,,,,,,
Vulpix,37,Base,vulpix,vulpix,24,4,4,5,7,7,Fire,,Ember,Quick Attack,Confuse Ray,Small,Light,Firestarter,,,,,,,BabyDoll Eyes,Tail Whip,Flash Fire,,,,,Fire,Ghost,Hexwork,Tricky,,,,,Field,,10 Days,Mountains,Volcanoes,Urban Burial,,,Omnivore,Uncommon,,,,,1,,,,,,,,,,,,,
Vulpix,37,Base/Alolan,vulpix-alola,vulpix-alola,24,4,4,5,7,7,Ice,,Powder Snow,Quick Attack,Confuse Ray,Small,Light,Freezer,,,,,,,BabyDoll Eyes,Tail Whip,Snow Cloak,,,,,Fairy,Ice,Psychic,Weird,,,,,Field,,10 Days,Mountains,,,,,Omnivore,Uncommon,,,,,1,,,,,,,,,,,,,
Ninetales,38,Base,ninetales,ninetales,42,8,8,8,10,10,Fire,,Flamethrower,WillOWisp,Safeguard,Medium,Medium,Firestarter,,,,,,,BabyDoll Eyes,Tail Whip,Drought,Flash Fire,,,,Fire,Ghost,Hexwork,Tricky,,,,,Field,,10 Days,Mountains,Volcanoes,Urban Burial,,,Omnivore,Uncommon,,,,Vulpix,3,,,,,,,,,,,,,
Ninetales,38,Base/Alolan,ninetales-alola,ninetales-alola,42,7,8,8,10,11,Ice,Fairy,Dazzling Gleam,Ice Beam,Safeguard,Medium,Medium,Freezer,,,,,,,BabyDoll Eyes,Tail Whip,Snow Cloak,Snow Warning,,,,Fairy,Ice,Psychic,Weird,,,,Sheer Cold,Field,,10 Days,Mountains,,,,,Omnivore,Uncommon,,,,Vulpix,3,,,,,,,,,,,,,
Jigglypuff,39,Base,jigglypuff,jigglypuff,72,5,2,5,3,2,Normal,Fairy,Disarming Voice,Double Slap,Rollout,Small,Light,Inflatable,,,,,,,Defense Curl,Competitive,Cute Charm,,,,,Fairy,Elemental Attacks,Normal Block,Cutesy,,,,Misty Explosion,Fairy,,4 Days,Meadows,Mountains,,,,Herbivore,Uncommon,,,,Igglybuff,2,,,,,,,,,,,,,
Wigglytuff,40,Base,wigglytuff,wigglytuff,84,7,5,9,5,5,Normal,Fairy,WakeUp Slap,Double Edge,Hyper Voice,Medium,Medium,Inflatable,,,,,,,Defense Curl,Competitive,Cute Charm,Friend Guard,,,,Fairy,Elemental Attacks,Normal Block,Cutesy,,,,Misty Explosion,Fairy,,4 Days,Meadows,Mountains,,,,Herbivore,Uncommon,,,,Jigglypuff,3,,,,,,,,,,,,,
Zubat,41,Base,zubat,zubat,24,5,4,3,4,6,Poison,Flying,Absorb,Supersonic,Bite,Small,Light,Flight,,,,,,,Inner Focus,,,,,,,Flying,Poison,Fangs,Winged,,,,,Flying,,7 Days,Cave,,,,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Golbat,42,Base,golbat,golbat,48,8,7,7,8,9,Poison,Flying,Wing Attack,Poison Fang,Mean Look,Medium,Medium,Flight,,,,,,,Infiltrator,Inner Focus,Screech,,,,,Flying,Poison,Fangs,Winged,,,,,Flying,,7 Days,Cave,,,,,Omnivore,Common,,,,Zubat,2,,,,,,,,,,,,,
Oddish,43,Base,oddish,oddish,30,5,6,8,7,3,Grass,Poison,Absorb,Sweet Scent,Acid Spray,Small,Light,Sprouter,,,,,,,Growth,Chlorophyll,,,,,,Grass,Poison,,,,,,Moonlight,Grass,,10 Days,Jungle,Plains,Swamp,,,Phototroph,Uncommon,,,,,1,,,,,,,,,,,,,
Gloom,44,Base,gloom,gloom,36,7,7,9,8,4,Grass,Poison,Poison Powder,Stun Spore,Sleep Powder,Small,Light,Sprouter,Repulsive,,,,,,Growth,Chlorophyll,,,,,,Grass,Poison,Floral,,,,,Moonlight,Grass,,10 Days,Jungle,Plains,Swamp,,,Phototroph,Uncommon,,,,Oddish,2,,,,,,,,,,,,,
Vileplume,45,Base,vileplume,vileplume,48,8,9,11,9,5,Grass,Poison,Petal Blizzard,Petal Dance,Solar Beam,Large,Medium,Alluring,Sprouter,Repulsive,,,,,Growth,Effect Spore,Chlorophyll,,,,,Grass,Poison,Floral,,,,,Moonlight,Grass,,10 Days,Jungle,Plains,Swamp,,,Phototroph,Uncommon,,,,Gloom,3,,,,,,,,,,,,,
Paras,46,Base,paras,paras,24,7,6,5,6,3,Bug,Grass,Stun Spore,Absorb,Fury Cutter,Small,Light,None,,,,,,,Growth,Effect Spore,,,,,,Bug,Grass,Lepidopteran,Parasitic,,,,Spore,Bug,Grass,10 Days,Cave,Forest,Woodlands,,,Phototroph / Saprophyte,Common,,,,,1,,,,,,,,,,,,,
Parasect,47,Base,parasect,parasect,36,10,8,6,8,3,Bug,Grass,Spore,Slash,Giga Drain,Medium,Medium,None,,,,,,,Growth,Damp,Dry Skin,Effect Spore,,,,Bug,Grass,Lepidopteran,Parasitic,Blades/Claws,,,Spore,Bug,Grass,10 Days,Cave,Forest,Woodlands,,,Phototroph / Saprophyte,Common,,,,Paras,3,,,,,,,,,,,,,
