Name,Range,Type,Stat,Frequency,DiceRoll,Effects,Granted Skills,Contest Stat,Contest Keyword
Belch,Ranged(15ft),Poison,Special,1/day,5d12,Belch cannot be used unless you’ve eaten within the last minute.,,Tough,Appeal
Belly Drum,Self,Normal,Effect,3/day,,"You lose HP equal to half of your Max HP, then your Attack is +6 for 10 mins. This effect cannot be stacked.",,Cute,Get Ready!
Bide,Ranged(25ft burst),Normal,Effect,1/day,,"When you use this attack, you immediately end your turn. During your next turn, you can’t act. On the round after that, when it’s your turn, you release energy, dealing damage equal to twice the damage you’ve taken since initiating Bide.",,Tough,Final Appeal
Bind,Melee,Normal,Attack,At-Will,1d4,"On hit, the target is bound to you for 1d4 rounds. For each round the target is bound, it takes 1d4 physical damage on its turns.",,Tough,Torrential Appeal
Bite,Melee,Dark,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Black Hole Eclipse,"Ranged(60ft, 20ft blast)",Dark,(Variable),1/day,8d12,,,,
Blast Burn,"Ranged(30ft, 10ft blast)",Fire,Special,1/day,5d20,Blast Burn has -2 during Accuracy Check. You may not act during their next turn.,Firestarter,Beauty,Seen Nothing Yet
Blaze Kick,Melee,Fire,Attack,1/day,3d12,"On hit, if you got 16 or higher on Accuracy Check, the target is Burned.",Firestarter,Beauty,Round Starter
Blizzard,"Ranged(20ft, 10ft wave)",Ice,Special,1/day,5d12,"Blizzard has -2 during Accuracy Check unless it’s Hailing. On hit, if you got 18 or higher on Accuracy Check, the targets are Frozen.",Freezer,Beauty,Round Starter
Block,Melee,Normal,Effect,3/day,,"On hit, the target is bound to you for 1d6 rounds.",,Cute,Hold That Thought
Bloom Doom,"Ranged(60ft, 20ft blast)",Grass,(Variable),1/day,8d12,,,,
Blue Flare,Ranged(50ft),Fire,Special,3/day,5d12,"On hit, if you got 14 or higher on Accuracy Check, the target is Burned.",,,
Body Press,Melee,Fighting,Attack,3/day,3d8,Body Press deals +2 damage for every point of Defense you have above the target.,,Tough,Incentives
Body Slam,Melee,Normal,Attack,1/day,3d12,"On hit, if you got 14 or higher on Accuracy Check, the target is Paralyzed.",,Tough,Appeal
Bolt Beak,Melee,Electric,Attack,1/day,3d8,"If the target has not already acted this round, Bolt Beak deals +2d8 damage.",,Cool,Final Appeal
Bolt Strike,Melee,Electric,Attack,3/day,5d12,"On hit, if you got 14 or higher on Accuracy Check, the target is Paralyzed.",,,
Bone Club,Melee,Ground,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Bone Rush,Melee,Ground,Attack,At-Will,1d4,Bone Rush has -2 during Accuracy Check. Bone Rush is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Bonemerang,Ranged(15ft),Ground,Attack,3/day,1d20,Bonemerang is a Scatter attack. It has two attacks.,,Tough,Reliable
Boomburst,Ranged(25ft burst),Normal,Special,1/day,3d12,Anyone within range of Boomburst is cured of Sleep.,,Clever,Appeal
Bounce,Melee,Flying,Attack,1/day,3d12,"When you use this attack, you raise yourself 40 ft into the air, then you immediately end your turn. During your next turn, return to the ground, then your movement speed is doubled and then you may roll Bounce’s Accuracy Check and damage. On hit, if you got 14 or higher on Accuracy Check, the target is Paralyzed.",,Cute,Special Attention
Branch Poke,Melee,Grass,Attack,At-Will,2d6,,,Cute,Appeal
Brave Bird,Melee,Flying,Attack,1/day,5d12,"On hit, you lose HP equal to 1/3rd of the damage you deal.",,Cute,Round Ender
Breaking Swipe,Melee,Dragon,Attack,3/day,3d8,"On hit, the target’s Attack is -1 for 10 mins. This effect cannot be stacked.",,Cool,Appeal
Breakneck Blitz,Melee(25ft burst),Normal,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Brick Break,Melee,Fighting,Attack,3/day,3d8,Destroy any Walls within 5 ft. You may target Walls with Brick Break without needing to roll Accuracy Check or damage.,,Cool,Appeal
Brine,Ranged(20ft),Water,Special,3/day,3d8,"If you are at less than half of your Max HP, Brine has 5d8 for damage instead.",,Clever,Incentives
Brutal Hit,Melee,Dark,Attack,At-Will,2d6,,,,
Brutal Swing,Melee(5ft burst),Dark,Attack,At-Will,2d8,,,Tough,Excitement
Bubble,Ranged(15ft),Water,Special,At-Will,1d12,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Cute,Slow Set
Bubble Beam,Ranged(20ft beam),Water,Special,3/day,3d8,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Beauty,Slow Set
Bug Bite,Melee,Bug,Attack,At-Will,2d8,"On hit, if the target is holding a Berry, you steal it and immediately consume it.",,Tough,Attention Grabber
Bug Buzz,Ranged(20ft),Bug,Special,1/day,3d12,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Cute,Incentives
Bulldoze,Ranged(20ft burst),Ground,Attack,3/day,3d8,"On hit, all target’s Speed are -1 for 10 mins. This effect cannot be stacked.",Groundshaper,Cool,Appeal
Bullet Punch,Melee,Steel,Attack,At-Will,2d6,Bullet Punch has Priority.,,Clever,Quick Set
Bullet Seed,Ranged(10ft),Grass,Attack,At-Will,1d4,Bullet Seed has -2 during Accuracy Check. Bullet Seed is a Scatter attack. Up to 5 attacks.,,Cool,Reliable
Burn Up,Ranged(25ft burst),Fire,Special,1/day,5d12,"After use, if the user is only Fire type it becomes Normal type, and if the user is Fire type and another type it loses its Fire typing. This effect lasts for 10 mins.",,Beauty,Round Ender
Burning Jealousy,"Ranged(30ft, 10ft wave)",Fire,Special,1/day,2d12,"If any targets have had any stats raised in the past 2 mins, Burning Jealousy Burns the target.",,Cute,Incredible
Camouflage,Self,Normal,Effect,At-Will,,"Your Type changes to reflect your current surroundings for one min. (If you are in a grassy field, Grass type; if you are in water, Water type; if you are on a mountain, Rock type; etc.)",,Clever,Hold That Thought
Catastropika,Melee,Electric,Attack,1/day,10d12,"Immediately move next to your target, then roll your accuracy check. On hit, the target is Paralyzed.",,,
Celebrate,Ranged(25ft burst),Normal,Effect,3/day,,"Roll 1d20. On 20, in addition to your own stats, each ally within range has their Attack, Special Attack, Defense, Special Defense, and Speed raised +1 for 10 mins. This effect cannot be stacked.",,Cute,Inversed Appeal
Charge,Self,Electric,Effect,At-Will,,"Your next Electric attack will deal +2d8 damage. Until then, your Special Defense is +1. This effect cannot be stacked. This effect wears off after one min.",Zapper,Clever,Get Ready!
Charge Beam,Ranged(10ft beam),Electric,Special,At-Will,1d12,"On hit, your Special Attack is +1 for 10 mins. This effect cannot be stacked.",Zapper,Beauty,Round Starter
Charge on Through,Melee,Normal,Attack,3/day,3d6,"Charge on Through can only be made against enemies that you passed through while moving during your turn. If you were, you are no longer bound. Any Pokémon making this attack may still use a move during their turn.",,,
Chatter,Ranged(10ft burst),Flying,Special,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, all targets are Confused.",,Clever,Catching Up
Chip Away,Melee,Normal,Attack,3/day,3d8,Chip Away has +2 on Accuracy Check if used against a target with a Defense or Special Defense raising passive.,,Tough,Reliable
Chosen Metronome,Self,Normal,Effect,At-Will,,"Immediately use any attack of your choice. You cannot use the same attack this way more than once per combat. You also may not use the same elemental type of attack with Chosen Metronome two turns or actions in a row. You must use an attack, no status affecting or self-targeting moves.",,,
Circle Throw,Melee,Fighting,Attack,3/day,3d8,"On hit, move the target 40ft away.",,Tough,Big Show
Clamp,Melee,Water,Attack,At-Will,1d4,Clamp has -2 during Accuracy Check. Clamp is a Scatter attack. Up to 5 attacks.,,Tough,Appeal
Clanging Scales,Ranged(10ft burst),Dragon,Special,3/day,3d10,"On hit, the target’s Defense is -2 for 10 mins. This effect cannot be stacked.",,Clever,Incentives
Clangorous Soul,Self,Dragon,Effect,1/day,,"You lose HP equal to 1/6th of your Max HP. Your Attack, Special Attack, Defense, Special Defense, and Speed are each raised +1 for 10 mins. This effect cannot be stacked.",,Beauty,Incredible
Clangorous Soulblaze,Melee(40ft burst),Dragon,Special,1/day,8d12,"Your Attack, and Special Attack are +2 for 10 mins.",,,
Clear Smog,Ranged(5ft burst),Poison,Special,At-Will,1d12,,,Clever,Hold That Thought
Clearing Smog,Ranged(20ft),Poison,Special,At-Will,1d12,,,,
Close Combat,Melee,Fighting,Attack,1/day,5d12,"On hit, your Defense and Special Defense is -2 for 10 mins. This effect cannot be stacked.",,Clever,Seen Nothing Yet
Coaching,Melee,Fighting,Effect,3/day,,Target ally has +2 Attack and +2 Defense for 2 mins. This effect cannot be stacked.,,Cute,Good Show!
Comet Punch,Melee,Normal,Attack,At-Will,1d4,Comet Punch has -2 during Accuracy Check. Comet Punch is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Confuse Ray,Ranged(20ft),Ghost,Effect,1/day,,"On hit, the target becomes Confused.",,Clever,Unsettling
Confusion,Ranged(10ft),Psychic,Special,At-Will,1d12,"On hit, if you got 19 or higher on Accuracy Check, the target is Confused.",Telekinetic,Clever,Appeal
Confusioning,Ranged(20ft),Psychic,Special,At-Will,1d12,,,,
Constrict,Melee,Normal,Attack,At-Will,1d6,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Tough,Torrential Appeal
Continental Crush,"Ranged(60ft, 20ft blast)",Rock,(Variable),1/day,8d12,,,,
Conversion,Self,Normal,Effect,At-Will,,Put a Type Coat on yourself. The Coat has the following ability: Your Type changes to a type matching one of your known moves for two minutes or your Type changes to a type that resists that last attack you were hit by for two minutes.,,Beauty,Catching Up
Conversion 2,Self,Normal,Effect,At-Will,,Your Type changes to a type that resists that last attack you were hit by for two minutes.,,Beauty,Catching Up
Core Enforcer,"Ranged(40ft, 10ft blast)",Dragon,Special,3/day,3d12,"If any targets acted before you this turn, they lose all ability passives for 10 mins.",,,
Corkscrew Crash,Melee(25ft burst),Steel,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Corrosive Gas,Melee,Poison,Effect,3/day,,"On hit, destroy the target’s held item, if any. Corrosive Gas cannot destroy Mega Stones.",Repulsive,Clever,Unsettling
Counter,Melee,Fighting,Effect,1/day,,"Counter is used as a Reaction. After an enemy hits you with a melee Attack move that deals damage, use Counter to deal exactly twice the damage to the enemy that you received. Do not apply weakness or resistances.",,Tough,Final Appeal
Covet,Melee,Normal,Attack,3/day,2d8,"On hit, steals the target’s held item, if any.",,Cute,Attention Grabber
Crabhammer,Melee,Water,Attack,3/day,3d10,"Crabhammer has -2 during Accuracy Check. On hit, if you got 18 or higher on Accuracy Check, Crabhammer is a critical hit.",,Tough,Round Starter
Crafty Shield,Ranged(20ft burst),Fairy,Effect,3/day,,Put a Crafty Coat on all allies and yourself. The Coat has the following ability: You cannot become afflicted or have any stats altered by enemies. This Coat lasts for 2 rounds.,,Clever,Inversed Appeal
Cross Chop,Melee,Fighting,Attack,1/day,5d12,"Cross Chop has -2 during Accuracy Check. On hit, if you got 16 or higher on Accuracy Check, Cross Chop is a critical hit.",,Cool,Round Ender
Cross Poison,Melee,Poison,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, Cross Poison is a critical hit and the target is Poisoned.",,Cool,Appeal
Crunch,Melee,Dark,Attack,3/day,3d10,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Tough,Round Starter
Crush Claw,Melee,Normal,Attack,3/day,3d8,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Cool,Appeal
Crush Grip,Melee,Normal,Attack,1/day,2d10,"If you are at Max HP, Crush Grip has 5d12 for damage instead.",,Tough,Final Appeal
Curative Barrage,Melee,Normal,Effect,At-Will,,"Curative Barrage cannot miss an ally. If Curative Barrage was used against the same human target during your last action as well, the human target is cured of Sleep, a Burn, Confusion, Paralysis, Poisoning or Toxification.",,,
Curse,Ranged(20ft),Ghost,Effect,1/day,,"Curse can only be used by Ghost-Type Pokémon. On hit, you lose hit points equal to 1/3rd of your max HP, then the target is Cursed.",,Tough,Torrential Appeal
Cut,Melee,Normal,Attack,At-Will,2d6,,,Cool,Appeal
Cutesy Coercion,Ranged(10ft),Normal,Effect,1/day,,"If the target is a Pokémon and has not acted yet during this round of combat, you choose where it moves, what it targets, and what attack it uses this round (You may not use the controlled Pokémon to attack a non-Pokémon target; you know the controlled Pokémon’s move list during this turn).",,,
Dark Pulse,Ranged(10ft),Dark,Special,3/day,3d10,"On hit, if you got 16 or higher on Accuracy Check, the target is Stunned.",,Cool,Round Starter
Dark Sign,Ranged(10ft),Dark,Effect,1/day,,"On hit, the target is put Asleep.",,,
Darkest Lariat,Melee,Dark,Attack,3/day,3d10,,,Cool,Special Attention
Dark Void,Ranged(40ft burst),Dark,Effect,3/day,,"All targets are put to Endless Sleep. Endless Sleep’s check starts at 19 and does not lower each turn like the normal Sleep affliction. Endless Sleep can only be cured with a successful check. If anyone is knocked unconscious while afflicted with Endless Sleep, they are cured of Endless Sleep.",,,
Dazzling Gleam,"Ranged(15 ft, 10 ft wave)",Fairy,Special,3/day,3d8,,,Beauty,Reflective Appeal
Decorate,Melee,Normal,Effect,3/day,,"Target an ally or yourself. The target’s Attack, Special Attack, Defense, Special Defense, or Speed is raised +2 for five mins. This effect cannot be stacked.",,,
Defog,Ranged(30ft burst),Flying,Effect,3/day,,"Any Walls, Hazards, Weather, or Terrains within range are destroyed.",,Beauty,Hold That Thought
Destiny Bond,Ranged(50ft),Ghost,Effect,1/day,,"If you are knocked out before your next turn, the offender who caused you to get knocked out has its HP set to 0.",,Clever,Big Show
Detect,Self,Fighting,Effect,1/day,,"Detect is used as a Reaction. When you would be hit by a move, use Detect to instead ignore the damage and any effects of the attack.",,Cool,Inversed Appeal
Devastating Drake,Melee(25ft burst),Dragon,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Diamond Storm,Ranged(40ft burst),Rock,Attack,3/day,3d20,"On hit, your Defense is +2 for 10 mins. This effect cannot be stacked.",,,
Dig,Melee,Ground,Attack,3/day,3d10,"When you use this at-tack, dig into the ground so that you are concealed, then you immediately end your turn. During your next turn, your movement speed underground is +40 ft, and when you emerge from the ground you may roll Dig’s Accuracy Check and damage.",Burrow,Clever,Special Attention
Disable,Ranged(20ft),Normal,Effect,1/day,,"For 1 minute, the attack last used by the target may not be used again.",,Clever,Excitement
Disarming Voice,Ranged(10ft),Fairy,Special,At-Will,1d12,You can’t miss targets with less than 15 Special Defense.,,Cute,Unsettling
Discharge,Ranged(10ft burst),Electric,Special,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, all targets are Paralyzed.",Zapper,Cool,Round Starter
Dive,Melee,Water,Attack,3/day,3d10,"When you use this at-tack, dive into water so that you are concealed, then you immediately end your turn. During your next turn, your movement speed underwater is +40ft, and when you emerge from the wa-ter you may roll Dive’s Accuracy Check and damage.",,Beauty,Special Attention
Divine Verdict,"Ranged(30ft, 5ft blast)",Normal,Special,1/day,5d12,Divine Verdict’s type is chosen when its used and may use Attack for accuracy check and damage instead of Special Attack.,,,
Dizzy Punch,Melee,Normal,Attack,3/day,3d8,"On hit, if you got 16 or higher on Accuracy Check, the target is Confused.",,Cool,Inversed Appeal
Doom Desire,Ranged(30ft blast),Steel,Special,3/day,5d20,"When you use this attack you immediately end your turn. In two rounds, you may roll Doom Desire’s Accuracy Check and damage.",,,
Double Edge,Melee,Normal,Attack,1/day,5d12,"On hit, you lose HP equal to 1/3rd of the damage you deal.",,Tough,Big Show
Double Hit,Melee,Normal,Attack,3/day,1d20,Double Hit is a Scatter attack. It has two attacks.,,Clever,Reliable
Double Iron Bash,Melee,Steel,Attack,3/day,1d20,"Double Iron Bash is a Scatter attack. It has two attacks. On either hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,,
Double Kick,Melee,Fighting,Attack,3/day,1d20,Double Kick is a Scatter attack. It has two attacks.,,Cool,Reliable
Double Slap,Melee,Normal,Attack,At-Will,1d4,Double Slap has -2 during Accuracy Check. Double Slap is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Double Team,Self,Normal,Effect,1/day,,"You create 3 copies of yourself. You may attack from any copy and copies may inhabit spaces up to 25 ft away from each other, though none can be more than 25 ft from any other copies or the original. If a copy is hit, it disappears and you take 1/4th of the damage it would have taken. If your copy is hit by a non-damaging attack the copy is dismissed and you are unaffected by the attack. If you are hit, all copies disappear.",,Cool,Reliable
Draco Meteor,"Ranged(20ft, 10ft blast)",Dragon,Special,1/day,5d12,"After use, your Special Attack is -4 for 10 mins. This effect cannot be stacked.",,Clever,Seen Nothing Yet
Dragon Ascent,Melee,Dragon,Attack,3/day,5d12,,,,
Dragon Breath,Ranged(10ft),Dragon,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Paralyzed.",,Cool,Round Starter
Dragon Claw,Melee,Dragon,Attack,3/day,3d10,,,Cool,Round Starter
Dragon Darts,Ranged(10ft),Dragon,Attack,3/day,1d20,Dragon Darts is a Scatter attack. It has two attacks.,,Cute,Reliable
Dragon Energy,Ranged(30ft burst),Dragon,Special,1/day,3d10,"If you are at Max HP, Dragon energy has 5d12 for damage instead.",,,
Dragon Hammer,Melee,Dragon,Attack,1/day,3d12,,,Cool,Round Starter
Dragon Pulse,Ranged(10ft),Dragon,Special,3/day,3d10,,,Clever,Incentives
Dragon Rage,Ranged(5ft),Dragon,Special,3/day,,"On hit, the target loses exactly 25 HP.",,Cool,Appeal
Dragon Rush,Melee,Dragon,Attack,3/day,3d10,"Dragon Rush has -2 during Accuracy Check. On hit, if you got 16 or higher on Accuracy Check, the target is Stunned.",,Cool,Round Ender
Dragon Tail,Melee,Dragon,Attack,3/day,3d8,"On hit, move the target 40ft away.",,Clever,Appeal
Drain Punch,Melee,Fighting,Attack,3/day,2d8,"On hit, you regain HP equal to half of the damage dealt.",,Beauty,Good Show!
Draining Kiss,Melee,Fairy,Special,3/day,2d8,"On hit, you regain HP equal to half of the damage dealt.",,Cute,Unsettling
Dream Eater,Melee,Psychic,Special,1/day,5d12,"Dream Eater can only hit Sleeping targets. On hit, you regain HP equal to half of the damage dealt.",,Clever,Good Show!
Drill Peck,Melee,Flying,Attack,3/day,3d10,,,Cool,Appeal
Drill Run,Melee,Ground,Attack,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, Drill Run is a critical hit.",,Cool,Appeal
Drum Beating,Melee,Grass,Attack,3/day,3d10,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Tough,Appeal
Dual Chop,Melee,Dragon,Attack,3/day,1d20,Dual Chop is a Scatter attack. It has two attacks.,,Tough,Reliable
Dual Wingbeat,Melee,Flying,Attack,3/day,1d20,Dual Wingbeat is a Scatter attack. It has two attacks.,,Cool,Reliable
Dynamax Cannon,Ranged(100ft),Dragon,Special,3/day,3d10,"If the target is Dynamax, Gigantamax, or Eternamax, Dynamax Cannon deals +250 damage.",,,
Dynamic Punch,Melee,Fighting,Attack,1/day,5d12,"Dynamic Punch has -5 during Accuracy Check. On hit, the target is Confused.",,Cool,Round Ender
Earth Power,Ranged(15ft),Ground,Special,3/day,3d10,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",Groundshaper,Clever,Round Ender
Earthquake,Ranged(30ft burst),Ground,Attack,1/day,5d12,,Groundshaper,Tough,Round Ender
Echoed Voice,Ranged(10ft),Normal,Special,At-Will,1d12,Echoed Voice deals +5 damage if you used it during the previous round.,,Clever,Reliable
Eerie Spell,Ranged(30ft),Psychic,Special,3/day,3d8,"On hit, the attack last used by the target may not be used again for 1 minute.",,,
Egg Bomb,Ranged(15ft),Normal,Attack,3/day,3d10,Egg Bomb has -2 during Accuracy Check.,,Tough,Appeal
Electric Terrain,Field,Electric,Effect,3/day,,"You create a circle of Electrified Terrain with a 60ft diameter. Anyone touching the ground within the Electrified terrain is immune to being put to Sleep. Within the Electrified Terrain, Electric-type attacks deal an additional 8 damage. This terrain disappears after 2 mins.",,Clever,Unsettling
Electrify,Melee,Electric,Effect,3/day,,"The next time the target uses an attack, the attack is treated as being Electric-type.",Zapper,Clever,Hold That Thought
Electro Ball,Ranged(15ft),Electric,Special,3/day,3d10,Electro Ball can only be used against targets slower than you.,Zapper,Beauty,Final Appeal
Electroweb,Ranged(10ft),Electric,Special,3/day,3d8,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",Threaded,Clever,Hold That Thought
Ember,Ranged(10ft),Fire,Special,At-Will,1d12,"On hit, if you got 18 or higher on Accuracy Check, the target is Burned.",Firestarter,Beauty,Appeal
Emberish,Ranged(20ft),Fire,Special,At-Will,1d12,,,,
Encore,Ranged(10ft),Normal,Effect,3/day,,"If the target can, it must use the last move it did for the next 3 rounds or until it no longer can.",,Cute,Good Show!
Endeavor,Melee,Normal,Attack,3/day,,"On hit, if the target has more HP than you, the target’s HP is set to equal your HP.",,Tough,Final Appeal
Endure,Self,Normal,Effect,1/day,,"Endure is used as a Reac-tion. If you are hit by an attack and would be knocked out, instead you are still at 1 HP.",,Tough,Hold That Thought
Energy Ball,Ranged(20ft),Grass,Special,3/day,3d10,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Beauty,Round Starter
